Default/optimizer-Momentum/AssignAdd-op36;HostCpuOps;244892148333060,0.005272,1 244892270915480,0.008747,1 244892448915058,0.006241,1 244892535533473,0.007203,1 244892630017334,0.006062,1 244892713932399,0.006114,1 244892805031033,0.009464,1 244892911863575,0.008655,1 244893039622982,0.009214,1 244893169662909,0.010606,1 244893287694972,0.010339,1 244893430068212,0.010833,1 244893605009511,0.011197,1 244893795696529,0.00974,1 244894028545306,0.009532,1 244894152775068,0.008646,1 244894262797711,0.007033,1 244894372878411,0.010376,1 244894505298114,0.005879,1 244894605186347,0.005211,1 244894789479008,0.006469,1 244894884830781,0.00658,1 244894975585640,0.00817,1 244895063047374,0.007637,1 244895162054447,0.006278,1 244895273065000,0.007581,1 244895378000807,0.007471,1 244895481533015,0.005964,1 244895583935180,0.007159,1 244895685051648,0.005231,1 244895783766682,0.004885,1 244895868434218,0.007031,1 244895966492687,0.007263,1 244896068702007,0.006039,1 244896154446484,0.006348,1 244896239879824,0.006622,1 244896318930435,0.007788,1 244896482878622,0.005884,1 244896584805862,0.0054,1 244896664597313,0.006161,1 244896746847410,0.002267,1 244896832459755,0.002358,1 244896925508215,0.001413,1 244897000744260,0.001609,1 244897077887521,0.00157,1 244897155499961,0.001351,1 244897235357317,0.00147,1 244897312384506,0.001493,1 244897389390711,0.001395,1 244897467310056,0.00262,1 244897547499922,0.001415,1 244897639232688,0.001482,1 244897715881433,0.001455,1 244897793894318,0.001368,1 244897943589694,0.001332,1 244898021682315,0.001419,1 244898100352223,0.001663,1 244898179570844,0.001436,1 244898258616267,0.001371,1 244898339603353,0.001402,1 244898415428352,0.001424,1 244898491586640,0.001774,1 244898567675442,0.001224,1 244898649489643,0.002051,1 244898729739236,0.001615,1 244898809533441,0.002022,1 244898888948672,0.001505,1 244898965650728,0.001526,1 244899041506331,0.001708,1 244899117009189,0.00139,1 244899192282228,0.00141,1 244899339018329,0.001365,1 244899414314141,0.001507,1 244899489701766,0.001476,1 244899566372849,0.001469,1 244899642570947,0.001448,1 244899731891122,0.001367,1 244899809199345,0.001658,1 244899887487430,0.001752,1 244899967828750,0.001331,1 244900043219877,0.001441,1 244900118665146,0.001823,1 244900196003641,0.001416,1 244900274041248,0.00258,1 244900349349934,0.001775,1 244900426970115,0.001469,1 244900504941403,0.00213,1 244900582621509,0.001398,1 244900732612107,0.001367,1 244900813452006,0.002235,1 244900891921824,0.001502,1 244900968975429,0.002604,1 244901045891626,0.0016,1 244901131520729,0.001643,1 244901212534319,0.002486,1 244901291252336,0.002191,1 244901365640705,0.0013,1 244901446988284,0.0016,1 244901523331493,0.002165,1 244901602570852,0.001365,1 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op28;HostCpuOps;244892148355719,0.958926,1 244892270949697,0.015972,1 244892448938326,0.012661,1 244892535557072,0.013085,1 244892630063136,0.012303,1 244892713955485,0.012665,1 244892805052841,0.020344,1 244892911899162,0.016178,1 244893039661122,0.020779,1 244893169698707,0.019559,1 244893287749102,0.02076,1 244893430112172,0.022182,1 244893605048320,0.020265,1 244893795739981,0.018784,1 244894028582952,0.018891,1 244894152808825,0.020049,1 244894262822061,0.014969,1 244894372918768,0.019783,1 244894505320645,0.014376,1 244894605238925,0.01468,1 244894789502080,0.015076,1 244894884861071,0.018526,1 244894975620070,0.020043,1 244895063080912,0.019102,1 244895162079092,0.015695,1 244895273096484,0.018687,1 244895378035509,0.020197,1 244895481555621,0.014735,1 244895583968654,0.019802,1 244895685074313,0.014763,1 244895783786850,0.012484,1 244895868458738,0.015652,1 244895966527018,0.019894,1 244896068731206,0.015148,1 244896154470610,0.014382,1 244896239911930,0.016897,1 244896318964067,0.01641,1 244896482902403,0.014766,1 244896584827275,0.013114,1 244896664624204,0.014666,1 244896746722873,0.018484,1 244896832320063,0.020386,1 244896925418026,0.016183,1 244897000653841,0.017265,1 244897077773160,0.020109,1 244897155406321,0.017788,1 244897235267031,0.016524,1 244897312286962,0.016196,1 244897389298440,0.017179,1 244897467180454,0.021584,1 244897547411588,0.01522,1 244897639142961,0.015403,1 244897715794057,0.015344,1 244897793805760,0.015219,1 244897943483023,0.018941,1 244898021592977,0.015799,1 244898100265809,0.01489,1 244898179484015,0.015329,1 244898258522151,0.016244,1 244898339515690,0.015812,1 244898415337713,0.015981,1 244898491496982,0.016852,1 244898567587789,0.015684,1 244898649364363,0.020693,1 244898729625500,0.019461,1 244898809443707,0.01643,1 244898888862951,0.015013,1 244898965560770,0.01645,1 244899041396824,0.022729,1 244899116920257,0.016365,1 244899192194921,0.014747,1 244899338930762,0.01541,1 244899414223157,0.016412,1 244899489614681,0.01586,1 244899566283018,0.01516,1 244899642481341,0.015907,1 244899731804782,0.014867,1 244899809114091,0.01513,1 244899887400794,0.015171,1 244899967742806,0.015066,1 244900043133455,0.015221,1 244900118579390,0.014486,1 244900195897692,0.020782,1 244900273944940,0.015274,1 244900349260198,0.015711,1 244900426882224,0.016293,1 244900504837941,0.016799,1 244900582535570,0.01528,1 244900732523442,0.015713,1 244900813319463,0.019992,1 244900891826363,0.019225,1 244900968851592,0.019555,1 244901045802903,0.015697,1 244901131422216,0.01725,1 244901212401312,0.020871,1 244901291123436,0.020552,1 244901365555740,0.014917,1 244901446899742,0.015992,1 244901523205921,0.01912,1 244901602485165,0.01531,1 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op35;HostCpuOps;244892149420774,0.00336,1 244892271064133,0.001977,1 244892449034068,0.001438,1 244892535656450,0.001573,1 244892630188036,0.00152,1 244892714089082,0.001567,1 244892805265787,0.002341,1 244892912060619,0.002528,1 244893039850099,0.002794,1 244893169872911,0.002272,1 244893291004782,0.003165,1 244893433450178,0.003549,1 244893609620913,0.002741,1 244893799560864,0.002791,1 244894029295149,0.00236,1 244894152954452,0.002298,1 244894262929014,0.001665,1 244894373085709,0.003086,1 244894505420444,0.001652,1 244894605406216,0.001577,1 244894789604154,0.001549,1 244894885000832,0.002662,1 244894975775194,0.002411,1 244895063224984,0.002702,1 244895162211620,0.001754,1 244895273236715,0.002478,1 244895378187096,0.002563,1 244895481655498,0.001682,1 244895584091646,0.001749,1 244895685177352,0.001663,1 244895783880341,0.001421,1 244895868562436,0.001424,1 244895966654076,0.001731,1 244896068835552,0.001511,1 244896154568982,0.001562,1 244896240054225,0.002477,1 244896319073070,0.001374,1 244896483003434,0.001445,1 244896584925747,0.001313,1 244896664742528,0.001495,1 244896746820330,0.002772,1 244896832424794,0.002391,1 244896925491404,0.00158,1 244897000726912,0.001488,1 244897077867070,0.002205,1 244897155483194,0.001634,1 244897235340501,0.001609,1 244897312366404,0.001966,1 244897389374341,0.001561,1 244897467283283,0.002477,1 244897547482656,0.001508,1 244897639215063,0.001585,1 244897715865331,0.001498,1 244897793877012,0.001683,1 244897943569834,0.002285,1 244898021664649,0.002291,1 244898100335699,0.001549,1 244898179554084,0.002105,1 244898258598424,0.001737,1 244898339586070,0.001688,1 244898415411297,0.00168,1 244898491570491,0.001613,1 244898567658821,0.001494,1 244898649464845,0.002323,1 244898729720184,0.001521,1 244898809516804,0.001521,1 244898888931986,0.0017,1 244898965633759,0.001541,1 244899041488702,0.001585,1 244899116992491,0.001456,1 244899192264933,0.001616,1 244899339001501,0.00156,1 244899414297229,0.001724,1 244899489685292,0.001951,1 244899566355361,0.001667,1 244899642553285,0.001497,1 244899731874984,0.001507,1 244899809183659,0.001392,1 244899887471112,0.001619,1 244899967812887,0.001455,1 244900043203435,0.001644,1 244900118649700,0.00149,1 244900195986121,0.00169,1 244900274020826,0.001737,1 244900349333254,0.001608,1 244900426953507,0.001756,1 244900504917525,0.001983,1 244900582605448,0.001509,1 244900732594933,0.001927,1 244900813424615,0.002729,1 244900891903103,0.001549,1 244900968948945,0.002393,1 244901045874771,0.001605,1 244901131497407,0.00215,1 244901212507717,0.00254,1 244901291226913,0.00254,1 244901365624311,0.001528,1 244901446971636,0.001544,1 244901523306168,0.002227,1 244901602555067,0.001486,1 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/BiasAdd-op29;HostCpuOps;244892149334933,0.004929,1 244892270983050,0.002364,1 244892448962751,0.001858,1 244892535582589,0.002148,1 244892630112747,0.00199,1 244892713979269,0.03784,1 244892805096387,0.012102,1 244892911933438,0.008964,1 244893039703590,0.010963,1 244893169738652,0.012988,1 244893287793752,1.21152,1 244893430168003,1.23528,1 244893605088527,0.621631,1 244893795778009,1.16194,1 244894028619655,0.530201,1 244894152846720,0.002609,1 244894262849669,0.002051,1 244894372960282,0.002976,1 244894505347482,0.001807,1 244894605291103,0.001814,1 244894789532242,0.001911,1 244894884895894,0.002647,1 244894975660070,0.003159,1 244895063118704,0.002796,1 244895162110921,0.002152,1 244895273132931,0.002713,1 244895378074014,0.002573,1 244895481582676,0.001906,1 244895584005997,0.002544,1 244895685102036,0.001882,1 244895783810966,0.00225,1 244895868487666,0.001902,1 244895966567908,0.002278,1 244896068759859,0.001783,1 244896154496795,0.001808,1 244896239947314,0.002917,1 244896318996023,0.002149,1 244896482929875,0.001776,1 244896584852047,0.001789,1 244896664654303,0.002254,1 244896746749244,0.003423,1 244896832348163,0.003853,1 244896925439447,0.003109,1 244897000675684,0.002661,1 244897077799529,0.003323,1 244897155429803,0.003018,1 244897235288749,0.003134,1 244897312308653,0.002854,1 244897389321245,0.003181,1 244897467209013,0.003228,1 244897547431530,0.002669,1 244897639163058,0.002673,1 244897715814342,0.002454,1 244897793826305,0.002799,1 244897943508207,0.003349,1 244898021613491,0.002964,1 244898100285569,0.002552,1 244898179504318,0.002562,1 244898258543468,0.003001,1 244898339536635,0.002524,1 244898415358920,0.002532,1 244898491519059,0.002602,1 244898567607958,0.002427,1 244898649392007,0.003906,1 244898729654277,0.003625,1 244898809465069,0.002653,1 244898888882450,0.002783,1 244898965581480,0.002739,1 244899041434751,0.003381,1 244899116941590,0.002419,1 244899192214606,0.002527,1 244899338950738,0.002588,1 244899414244461,0.002814,1 244899489635359,0.002729,1 244899566303210,0.002865,1 244899642502157,0.0027,1 244899731824584,0.00261,1 244899809133671,0.002821,1 244899887420635,0.002734,1 244899967762747,0.002634,1 244900043153343,0.002712,1 244900118599046,0.0023,1 244900195925560,0.003405,1 244900273965224,0.002605,1 244900349281237,0.00267,1 244900426903524,0.002777,1 244900504860118,0.002807,1 244900582555500,0.002612,1 244900732544320,0.00261,1 244900813347434,0.003887,1 244900891852682,0.002786,1 244900968878661,0.003838,1 244901045823114,0.002619,1 244901131444565,0.002829,1 244901212429859,0.003804,1 244901291151025,0.003848,1 244901365575113,0.002382,1 244901446920834,0.002781,1 244901523232275,0.00404,1 244901602504855,0.002902,1 
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op33;HostCpuOps;244892149400570,0.004625,1 244892271043265,0.003716,1 244892449014399,0.003844,1 244892535637030,0.003902,1 244892630166226,0.003601,1 244892714069641,0.003822,1 244892805213566,0.005298,1 244892912029824,0.00531,1 244893039810698,0.005591,1 244893169840517,0.005584,1 244893290952265,0.006072,1 244893433402588,0.006657,1 244893609575785,0.006948,1 244893799487263,0.006776,1 244894029260904,0.004882,1 244894152925248,0.004946,1 244894262908352,0.004173,1 244894373043960,0.005154,1 244894505400379,0.003786,1 244894605386063,0.004221,1 244894789584253,0.004043,1 244894884972261,0.004731,1 244894975743462,0.005667,1 244895063195455,0.005018,1 244895162190947,0.004167,1 244895273208482,0.005396,1 244895378157619,0.00482,1 244895481635552,0.003659,1 244895584070605,0.003801,1 244895685157734,0.004117,1 244895783861927,0.003418,1 244895868542141,0.003765,1 244895966631284,0.00381,1 244896068815005,0.00397,1 244896154549743,0.003892,1 244896240025177,0.004822,1 244896319052691,0.004042,1 244896482984172,0.003994,1 244896584905001,0.003982,1 244896664719821,0.004407,1 244896746786164,0.004468,1 244896832387518,0.005187,1 244896925466761,0.003215,1 244897000701640,0.003679,1 244897077835141,0.00457,1 244897155457060,0.003886,1 244897235316051,0.0034,1 244897312340083,0.003876,1 244897389348640,0.003359,1 244897467248877,0.004391,1 244897547458667,0.003603,1 244897639190928,0.003237,1 244897715840421,0.003203,1 244897793851593,0.003829,1 244897943538702,0.005415,1 244898021640236,0.003631,1 244898100310827,0.003303,1 244898179530176,0.00345,1 244898258572268,0.003558,1 244898339561623,0.00331,1 244898415387065,0.003829,1 244898491545986,0.003463,1 244898567634465,0.003261,1 244898649430694,0.004257,1 244898729693488,0.003653,1 244898809491791,0.003441,1 244898888907653,0.003726,1 244898965608239,0.003572,1 244899041463290,0.003365,1 244899116967484,0.003359,1 244899192240718,0.003526,1 244899338977293,0.003194,1 244899414271347,0.003765,1 244899489661748,0.003317,1 244899566329916,0.003233,1 244899642529214,0.003627,1 244899731850555,0.003718,1 244899809159188,0.003423,1 244899887446796,0.00341,1 244899967788458,0.004223,1 244900043179031,0.003179,1 244900118624890,0.003406,1 244900195960393,0.003491,1 244900273996181,0.003066,1 244900349308840,0.003441,1 244900426929387,0.003232,1 244900504887299,0.003525,1 244900582581151,0.003279,1 244900732570122,0.003898,1 244900813387382,0.005245,1 244900891879554,0.003165,1 244900968915048,0.004214,1 244901045849309,0.003572,1 244901131472200,0.003319,1 244901212467130,0.004477,1 244901291190200,0.004696,1 244901365600331,0.003188,1 244901446947273,0.003791,1 244901523271063,0.004333,1 244901602530956,0.003275,1 
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op30;HostCpuOps;244892149351344,0.004428,1 244892271000673,0.003296,1 244892448975299,0.002838,1 244892535596385,0.00294,1 244892630127100,0.00247,1 244892714028309,0.003196,1 244892805136023,0.006057,1 244892911961568,0.004506,1 244893039736631,0.004941,1 244893169769930,0.004773,1 244893289055879,0.607208,1 244893431454701,0.641328,1 244893605748853,1.21327,1 244893796977716,0.596225,1 244894029179295,0.010571,1 244894152865673,0.003947,1 244894262864156,0.002769,1 244894372981169,0.003745,1 244894505360900,0.002398,1 244894605306996,0.002671,1 244894789545528,0.002475,1 244894884914854,0.003772,1 244894975680066,0.003748,1 244895063137364,0.003868,1 244895162125082,0.0031,1 244895273151370,0.003596,1 244895378092639,0.003616,1 244895481596214,0.002595,1 244895584024185,0.003994,1 244895685115208,0.002587,1 244895783823632,0.002365,1 244895868499493,0.002863,1 244895966581996,0.003799,1 244896068773447,0.00298,1 244896154510119,0.003012,1 244896239966598,0.003634,1 244896319011086,0.002996,1 244896482943098,0.00295,1 244896584864083,0.002623,1 244896664669144,0.003382,1 244896746766565,0.003834,1 244896832366388,0.004273,1 244896925452119,0.003372,1 244897000688037,0.002921,1 244897077816458,0.003434,1 244897155442957,0.003063,1 244897235302082,0.003418,1 244897312323268,0.003624,1 244897389334377,0.002955,1 244897467227595,0.005296,1 244897547444447,0.003774,1 244897639175652,0.003166,1 244897715826340,0.003446,1 244897793838625,0.002905,1 244897943522329,0.003121,1 244898021626110,0.00366,1 244898100297205,0.003376,1 244898179516584,0.003509,1 244898258557666,0.003147,1 244898339548021,0.002888,1 244898415371836,0.003135,1 244898491531628,0.003297,1 244898567620125,0.003251,1 244898649409986,0.004078,1 244898729673236,0.004038,1 244898809477613,0.003239,1 244898888894310,0.003058,1 244898965594036,0.00318,1 244899041448866,0.003086,1 244899116953542,0.003218,1 244899192226958,0.003172,1 244899338963380,0.00331,1 244899414257187,0.003658,1 244899489647622,0.003082,1 244899566316132,0.002959,1 244899642514811,0.003384,1 244899731836565,0.003244,1 244899809145702,0.003034,1 244899887432854,0.00362,1 244899967775122,0.00292,1 244900043165678,0.003006,1 244900118610833,0.002981,1 244900195942337,0.003856,1 244900273980054,0.004421,1 244900349293988,0.00359,1 244900426915323,0.003067,1 244900504872980,0.003869,1 244900582567588,0.003394,1 244900732556519,0.003179,1 244900813366094,0.004136,1 244900891866232,0.003276,1 244900968895979,0.003974,1 244901045835483,0.003133,1 244901131457662,0.003331,1 244901212447119,0.00425,1 244901291169754,0.003982,1 244901365586709,0.003041,1 244901446933469,0.00324,1 244901523251355,0.003793,1 244901602517340,0.002947,1 
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op31;HostCpuOps;244892149368340,0.007832,1 244892271016906,0.003091,1 244892448989693,0.002598,1 244892535612151,0.002464,1 244892630141703,0.002574,1 244892714043783,0.003308,1 244892805166522,0.004948,1 244892911987409,0.004587,1 244893039763270,0.004705,1 244893169795184,0.004943,1 244893289701512,0.601629,1 244893432128882,0.618794,1 244893607008423,1.21453,1 244893797603704,1.1893,1 244894029211306,0.008075,1 244894152887600,0.003729,1 244894262882073,0.002457,1 244894373005547,0.00345,1 244894505375760,0.002754,1 244894605360451,0.003337,1 244894789560820,0.002808,1 244894884936396,0.003638,1 244894975703052,0.004351,1 244895063158316,0.003699,1 244895162141011,0.002988,1 244895273173090,0.003395,1 244895378114467,0.003581,1 244895481611834,0.002556,1 244895584044401,0.002933,1 244895685131529,0.002935,1 244895783837495,0.002496,1 244895868517037,0.00242,1 244895966602127,0.003603,1 244896068789679,0.002711,1 244896154526076,0.002512,1 244896239988272,0.003208,1 244896319028142,0.002812,1 244896482958529,0.002535,1 244896584878187,0.002283,1 244896664689029,0.002991,1 244896746776844,0.003063,1 244896832377856,0.003309,1 244896925460433,0.002382,1 244897000695504,0.002496,1 244897077826380,0.00334,1 244897155450547,0.002329,1 244897235309859,0.002814,1 244897312333166,0.002359,1 244897389342019,0.00245,1 244897467239567,0.003096,1 244897547452636,0.002538,1 244897639183716,0.002958,1 244897715834320,0.002248,1 244897793846016,0.002189,1 244897943530246,0.00256,1 244898021634297,0.002388,1 244898100304745,0.002325,1 244898179524380,0.002362,1 244898258565956,0.002224,1 244898339556083,0.00211,1 244898415380077,0.002647,1 244898491539413,0.002921,1 244898567627824,0.002379,1 244898649420886,0.003984,1 244898729684747,0.003606,1 244898809485411,0.002423,1 244898888901934,0.002288,1 244898965602138,0.002282,1 244899041456680,0.002317,1 244899116961349,0.002275,1 244899192234547,0.002375,1 244899338970980,0.002546,1 244899414265076,0.002274,1 244899489655753,0.002253,1 244899566323912,0.002327,1 244899642522628,0.002766,1 244899731844007,0.002662,1 244899809153396,0.002227,1 244899887440662,0.002427,1 244899967782425,0.002474,1 244900043172858,0.002134,1 244900118618379,0.002592,1 244900195952620,0.00337,1 244900273989754,0.002368,1 244900349302158,0.002893,1 244900426923301,0.002253,1 244900504881093,0.002326,1 244900582575464,0.0022,1 244900732564142,0.00244,1 244900813377799,0.003782,1 244900891873624,0.002362,1 244900968906271,0.002955,1 244901045843308,0.002425,1 244901131465664,0.002813,1 244901212457839,0.003455,1 244901291180706,0.003514,1 244901365594276,0.002387,1 244901446940855,0.002655,1 244901523261852,0.003422,1 244901602524643,0.002363,1 
Default/optimizer-Momentum/ApplyMomentum-op37;HostCpuOps;244892149446386,0.001581,1 244892271093639,0.001323,1 244892449055711,0.001185,1 244892535679852,0.001237,1 244892630210421,0.001215,1 244892714110960,0.001214,1 244892805303724,0.001839,1 244892912094877,0.001821,1 244893039892263,0.001984,1 244893169908762,0.001975,1 244893291058565,0.002278,1 244893433501861,0.002219,1 244893609669988,0.002018,1 244893799610471,0.001735,1 244894029338418,0.001531,1 244894152987879,0.001612,1 244894262953769,0.001231,1 244894373130215,0.002105,1 244894505443515,0.001204,1 244894605428309,0.001216,1 244894789627459,0.001184,1 244894885034309,0.001705,1 244894975809880,0.001666,1 244895063258956,0.001702,1 244895162236732,0.001182,1 244895273269216,0.001587,1 244895378220709,0.00183,1 244895481679394,0.001267,1 244895584118211,0.00141,1 244895685201956,0.001205,1 244895783901182,0.001136,1 244895868587780,0.00121,1 244895966679897,0.001312,1 244896068863314,0.001619,1 244896154593052,0.001349,1 244896240085282,0.001871,1 244896319097435,0.001264,1 244896483026778,0.001214,1 244896584949886,0.001294,1 244896664767633,0.001436,1 244896746856219,0.001313,1 244896832468900,0.001459,1 244896925514090,0.000948,1 244897000750228,0.001034,1 244897077893421,0.001002,1 244897155505672,0.000981,1 244897235363656,0.000977,1 244897312390095,0.000926,1 244897389396527,0.000906,1 244897467319729,0.001422,1 244897547505618,0.0009,1 244897639238764,0.000907,1 244897715886854,0.000937,1 244897793899508,0.000916,1 244897943594968,0.001329,1 244898021687725,0.000894,1 244898100358131,0.00093,1 244898179575940,0.000936,1 244898258621702,0.000946,1 244898339608792,0.000912,1 244898415433919,0.000912,1 244898491592560,0.000895,1 244898567680578,0.000889,1 244898649498750,0.001379,1 244898729745220,0.000953,1 244898809539629,0.000928,1 244898888953912,0.000911,1 244898965656825,0.000888,1 244899041512258,0.000925,1 244899117014640,0.000891,1 244899192287589,0.001055,1 244899339023744,0.00098,1 244899414319799,0.001041,1 244899489706992,0.000925,1 244899566378450,0.001036,1 244899642576423,0.000966,1 244899731896625,0.000929,1 244899809205045,0.000962,1 244899887493159,0.00105,1 244899967834089,0.000933,1 244900043225587,0.000869,1 244900118670749,0.00092,1 244900196009193,0.001084,1 244900274049800,0.001388,1 244900349355851,0.001,1 244900426975423,0.000906,1 244900504949720,0.001377,1 244900582626819,0.001002,1 244900732617148,0.000973,1 244900813460940,0.001257,1 244900891927939,0.001248,1 244900968984096,0.001266,1 244901045897181,0.000928,1 244901131526930,0.000949,1 244901212543161,0.001348,1 244901291261149,0.001384,1 244901365645957,0.000928,1 244901446994011,0.000906,1 244901523340075,0.001359,1 244901602576356,0.000932,1 
Gradients/Default/network-WithLossCell/_loss_fn-MSELoss/gradSquare/Mul-op32;HostCpuOps;244892149381302,0.004737,1 244892271025758,0.001819,1 244892448997278,0.002124,1 244892535619515,0.002072,1 244892630149418,0.001894,1 244892714052312,0.002586,1 244892805190698,0.004407,1 244892911999947,0.003348,1 244893039777216,0.004296,1 244893169808648,0.003772,1 244893290319631,0.586051,1 244893432764479,0.595722,1 244893608258305,1.26218,1 244893798828371,0.63271,1 244894029227676,0.003921,1 244894152899843,0.002466,1 244894262889736,0.001741,1 244894373017370,0.003463,1 244894505383233,0.00187,1 244894605369048,0.001773,1 244894789569149,0.001896,1 244894884947701,0.002847,1 244894975716803,0.003009,1 244895063169658,0.002678,1 244895162149331,0.002399,1 244895273184076,0.002786,1 244895378128454,0.002703,1 244895481619423,0.001858,1 244895584052960,0.001985,1 244895685139874,0.001846,1 244895783844954,0.001716,1 244895868524511,0.002109,1 244895966611569,0.001969,1 244896068798010,0.001805,1 244896154533339,0.001979,1 244896239998942,0.002346,1 244896319036113,0.001832,1 244896482966606,0.002162,1 244896584885630,0.001638,1 244896664697981,0.00207,1 244896746810139,0.003183,1 244896832414051,0.002983,1 244896925484413,0.00213,1 244897000719914,0.002021,1 244897077857860,0.00317,1 244897155476278,0.002287,1 244897235333652,0.00241,1 244897312358982,0.00259,1 244897389367386,0.002223,1 244897467273290,0.003029,1 244897547475977,0.002146,1 244897639208414,0.002199,1 244897715858377,0.002326,1 244897793869928,0.002398,1 244897943561044,0.002167,1 244898021658452,0.001921,1 244898100328497,0.002482,1 244898179547217,0.002595,1 244898258591549,0.002416,1 244898339579568,0.002078,1 244898415404844,0.001917,1 244898491563987,0.002081,1 244898567652006,0.002453,1 244898649454710,0.00273,1 244898729712610,0.002191,1 244898809509719,0.002288,1 244898888925236,0.002163,1 244898965627228,0.002128,1 244899041481829,0.002194,1 244899116985770,0.00228,1 244899192258303,0.002105,1 244899338994855,0.002203,1 244899414290320,0.002077,1 244899489678722,0.002021,1 244899566348273,0.002414,1 244899642547137,0.001991,1 244899731868265,0.002111,1 244899809177227,0.002145,1 244899887464471,0.002371,1 244899967806548,0.002194,1 244900043196713,0.002218,1 244900118642613,0.002382,1 244900195979301,0.002246,1 244900274013699,0.002106,1 244900349326215,0.002517,1 244900426946893,0.002034,1 244900504908065,0.002845,1 244900582599144,0.002003,1 244900732588347,0.002288,1 244900813414305,0.003164,1 244900891896530,0.002172,1 244900968938977,0.003058,1 244901045867813,0.002598,1 244901131489549,0.002306,1 244901212492621,0.003058,1 244901291216899,0.002996,1 244901365617634,0.002328,1 244901446965435,0.00205,1 244901523296423,0.002875,1 244901602548661,0.001923,1 
Default/optimizer-Momentum/ApplyMomentum-op38;HostCpuOps;244892149457561,0.000951,1 244892271105370,0.000759,1 244892449066662,0.000781,1 244892535689129,0.000771,1 244892630221716,0.000739,1 244892714121825,0.000774,1 244892805324400,0.001445,1 244892912111124,0.001159,1 244893039911516,0.001396,1 244893169926142,0.001227,1 244893291084714,0.001509,1 244893433523406,0.001429,1 244893609690218,0.001346,1 244893799632669,0.001346,1 244894029355588,0.001098,1 244894153003349,0.001075,1 244894262965055,0.000742,1 244894373151003,0.001471,1 244894505455022,0.000752,1 244894605439304,0.000726,1 244894789639834,0.000753,1 244894885051100,0.001228,1 244894975827107,0.001259,1 244895063274690,0.001189,1 244895162249060,0.000733,1 244895273285484,0.00114,1 244895378236731,0.001077,1 244895481688855,0.000741,1 244895584129467,0.000745,1 244895685214135,0.000722,1 244895783911855,0.000752,1 244895868600613,0.000735,1 244895966691743,0.000855,1 244896068876807,0.000722,1 244896154605971,0.000735,1 244896240101316,0.001308,1 244896319108886,0.000756,1 244896483039406,0.000702,1 244896584960053,0.000727,1 244896664780515,0.000783,1 244896746863366,0.00109,1 244896832476303,0.001195,1 244896925518711,0.000644,1 244897000755216,0.000758,1 244897077898164,0.000826,1 244897155510259,0.000689,1 244897235369024,0.000747,1 244897312394825,0.00064,1 244897389401043,0.000701,1 244897467326098,0.000767,1 244897547510331,0.000657,1 244897639243709,0.000678,1 244897715891857,0.000664,1 244897793904057,0.00068,1 244897943600297,0.000684,1 244898021692596,0.000676,1 244898100362807,0.000646,1 244898179580992,0.000902,1 244898258626413,0.000667,1 244898339613843,0.000648,1 244898415439023,0.000653,1 244898491597271,0.00071,1 244898567685243,0.000643,1 244898649506001,0.001059,1 244898729750441,0.000729,1 244898809544374,0.000923,1 244898888958400,0.000714,1 244898965661722,0.000702,1 244899041517403,0.000656,1 244899117019251,0.000664,1 244899192292500,0.000752,1 244899339028677,0.001062,1 244899414324537,0.000654,1 244899489711518,0.000707,1 244899566383516,0.000769,1 244899642581657,0.000665,1 244899731901379,0.000632,1 244899809209511,0.000722,1 244899887498154,0.000698,1 244899967839053,0.0007,1 244900043229857,0.000629,1 244900118675337,0.00064,1 244900196014113,0.000711,1 244900274056709,0.001033,1 244900349360504,0.000737,1 244900426979994,0.000656,1 244900504957423,0.001021,1 244900582631403,0.000699,1 244900732621742,0.000691,1 244900813469023,0.001194,1 244900891932720,0.000651,1 244900968990863,0.001074,1 244901045901709,0.000647,1 244901131532304,0.000667,1 244901212550944,0.001169,1 244901291268513,0.001181,1 244901365650940,0.000631,1 244901446998895,0.000647,1 244901523347313,0.000996,1 244901602580773,0.000661,1 
